Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
KRAS,Krakatau Steel (Persero) Tbk,,Basic Materials,Tidak,JUAL,66,"OCF-,FCF-",226,0.6,0.36,0.05,0.21,83.68,114.0,53.5,0.0,1.74,4.4,5.52,1.3,0.45,43.7,231.0,284.0,7.54,-5.59,39.38,15.43,1.51,0.85,0.53,5.44,1.85,-0.28,-65.28,0.0,,89,60,54,74,33,-24.6,155.7,1.0,0.0,405.5248,622.8431,,19346396900.0,19922244480000.0,7845444480000.0,12810359040000.0,12564010080000.0,20927531520000.0,1587548640000.0,19288763040000.0,49891036800000.0,12049769280000.0,-2234474400000.0,-619912800000.0,-2854387200000.0,2026-06-30,TTM-gabungan,USD
SRTG,Saratoga Investama Sedaya Tb,,Financial Services,Ya,HOLD,92,,1845,1.3,0.39,0.1,0.46,32.28,376.0,609.9,5.6,0.01,25.0,4.65,8.6,0.72,55.4,1787.0,1618.0,99.35,98.85,90.45,29.59,0.02,29.78,29.78,149.59,1.25,0.09,6.4,42.16,0.01,97,98,,82,84,3.4,16.6,2.0,0.04,1381.2847,4739.8147,103.3,13549832900.0,20692605000000.0,18716177000000.0,20455765000000.0,20451022000000.0,795960000000.0,870895000000.0,484105000000.0,68674133000000.0,64223697000000.0,1604910000000.0,-10081000000.0,1601187000000.0,2026-03-31,TTM-gabungan,IDR
PSAB,J Resources Asia Pasifik Tbk,,Basic Materials,Ya,HOLD,89,kas<laba,560,2.9,1.38,0.25,0.8,64.0,5259.0,15.2,18.75,0.15,14.8,73.42,41.4,0.8,59.0,487.0,429.0,64.37,32.81,99.03,31.43,0.52,2.92,2.6,26.73,2.59,0.46,12.72,0.0,0.21,93,83,94,90,78,42.3,,3.0,0.0,195.1753,405.9389,105.0,26460000000.0,5214706899840.0,5164337461920.0,7164334449600.0,6863118864480.0,1594675053120.0,7369949038080.0,3710084654880.0,17474083766880.0,10741142736480.0,2374550397120.0,-489430008960.0,1885120388160.0,2026-03-31,TTM-gabungan,USD
TKIM,Pabrik Kertas Tjiwi Kimia Tb,,Basic Materials,Ya,BOW,63,"OCF-,FCF-",7525,3.0,0.41,0.26,0.24,14.7,83.2,4.6,0.4,0.23,23.4,2.96,23.6,2.24,43.8,7204.0,7425.0,15.31,6.48,43.01,10.9,1.4,1.35,0.82,13.56,4.11,-0.11,-11.84,1.18,,89,53,78,41,34,-4.9,-15.9,1.0,0.0,2509.6392,18302.1998,30.0,3113223570.0,18166970400000.0,7813068000000.0,8634876480000.0,8617933440000.0,13293484320000.0,1242738240000.0,12048561600000.0,74212717440000.0,56978839680000.0,-828468480000.0,-1946052000000.0,-2774520480000.0,2026-06-30,TTM-gabungan,USD
DEWA,Darma Henwa Tbk,Bakrie,Energy,Ya,JUAL,71,kas<laba,370,3.5,1.91,0.15,1.0,68.37,34.6,-2.2,0.41,0.46,15.1,466.47,197.1,0.86,32.8,429.0,472.0,15.48,11.53,68.12,33.76,0.68,0.98,0.88,18.33,4.04,0.23,0.1,0.0,0.98,78,73,79,62,47,1.8,,3.0,0.0,106.4348,193.6018,1.5,40687434244.0,6357668840000.0,4330559441000.0,4469968816000.0,4443441647000.0,3597592754000.0,486824326000.0,3021728585000.0,15952540404000.0,7877160533000.0,1017270953000.0,-1001952975000.0,15317978000.0,2026-03-31,TTM,IDR
BBTN,Bank Tabungan Negara (Perser,LQ45,Financial Services,Tidak,JUAL,70,,1170,3.9,0.44,0.31,0.51,11.81,43.2,8.8,4.58,1.63,16.4,17.78,21.6,0.88,40.3,1217.0,1243.0,,,20.59,0.83,,,,,,-4.06,-115.0,0.0,,95,53,,65,59,9.4,4.8,2.0,0.0,299.0483,2676.1136,53.57,14034444413.0,20386482000000.0,4196977000000.0,,,61379379000000.0,27385200000000.0,33777535000000.0,545161326000000.0,37557768000000.0,-17029561000000.0,-1853416000000.0,-18882977000000.0,2026-06-30,TTM-gabungan,IDR
WIIM,Wismilak Inti Makmur Tbk.,,Consumer Defensive,Tidak,WSE,85,,1395,5.1,1.27,0.47,0.62,26.85,112.3,19.1,7.48,0.08,2.9,3.18,4.9,2.94,25.4,1651.0,1672.0,23.27,11.1,8.53,17.34,0.0,2.48,0.58,43.14,3.72,0.85,7.45,37.87,0.56,95,75,90,83,81,19.9,18.9,2.0,0.54,275.1653,1098.9882,104.4,2086903760.0,6735437680984.0,574243524613.0,782346632397.0,759563775919.0,191637097350.0,199617349150.0,1499076796.0,3395753959222.0,2293482571440.0,490328491484.0,-273493446294.0,216835045190.0,2026-06-30,TTM-gabungan,IDR
JPFA,Japfa Comfeed Indonesia Tbk.,,Consumer Defensive,Ya,WSE,85,,2280,5.2,1.29,0.48,0.63,28.54,96.8,22.0,6.14,0.4,26.5,14.66,33.3,0.61,52.1,2200.0,2318.0,23.43,11.37,8.02,13.89,0.77,1.79,0.53,10.86,4.07,1.23,11.47,31.18,0.52,93,80,79,85,85,7.4,41.3,2.0,0.0,442.0483,1766.5469,140.0,11627669901.0,64097536000000.0,5139992000000.0,8030386000000.0,7698660000000.0,8207996000000.0,1849630000000.0,6200297000000.0,39333812000000.0,20540824000000.0,6340063000000.0,-3300451000000.0,3039612000000.0,2026-03-31,TTM-gabungan,IDR
NCKL,Trimegah Bangun Persada Tbk.,,Basic Materials,Tidak,WSE,86,kas<laba,920,5.4,1.32,0.47,0.76,27.87,87.2,44.3,4.63,0.2,57.9,52.3,49.8,0.76,47.1,911.0,1022.0,28.12,24.01,32.68,16.9,0.28,1.69,0.88,23.36,4.37,0.49,7.41,0.0,0.17,89,79,88,95,74,45.8,24.2,3.0,-0.12,169.2943,696.521,42.64,62987866700.0,32634946000000.0,10663487000000.0,14181770000000.0,14086999000000.0,8915750000000.0,4885730000000.0,4030020000000.0,70985378000000.0,43872369000000.0,5174942000000.0,-878467000000.0,4296475000000.0,2026-06-30,TTM-gabungan,IDR
DKFT,Central Omega Resources Tbk.,,Basic Materials,Ya,WSE,88,,685,5.6,2.46,0.48,1.42,53.02,21.7,19.0,10.22,0.34,3.8,6.74,4.5,0.96,60.0,641.0,700.0,52.75,38.11,41.02,22.7,0.18,2.74,2.45,417.33,4.73,0.83,13.41,50.08,0.08,80,91,94,87,88,26.6,114.0,3.0,0.0,121.4482,278.9821,70.0,5513485875.0,1632331515159.0,669602916415.0,829672086845.0,721836738675.0,519153216134.0,659664734928.0,145434374839.0,3219670929659.0,1538163945576.0,552796370694.0,-46295456497.0,506500914197.0,2026-06-30,TTM-gabungan,IDR
LSIP,PP London Sumatra Indonesia ,Salim,Consumer Defensive,Ya,BUY,88,,1695,5.6,0.81,0.52,0.4,15.14,26.7,5.7,4.9,0.0,11.6,15.15,24.7,2.42,64.9,1480.0,1299.0,37.37,34.8,35.11,13.51,-3.36,7.08,6.44,2214.41,1.28,1.28,18.89,27.39,0.17,95,88,100,68,87,6.3,22.1,2.0,0.0,302.6825,2100.1243,83.0,6819963965.0,5880175000000.0,2064284000000.0,2493427000000.0,2493427000000.0,329000000.0,8371777000000.0,-8371448000000.0,16294964000000.0,14322772000000.0,2632025000000.0,-448396000000.0,2183629000000.0,2026-06-30,TTM-gabungan,IDR
