Ticker,Nama,Grup,Sektor,Syariah,Status,Skor,Flag,Harga,PER,PBV,PERvsSektor,PBVvsSektor,ROE%,LabaYoY%,OmzetYoY%,Dividen%,DER,MarketCap(T),Vol20(jt),Nilai(M),VolSpike,RSI14,MA50,MA200,MarginKotor%,MarginOperasi%,MarginBersih%,ROA%,UtangBersih/EBITDA,CurrentRatio,QuickRatio,InterestCoverage,EV/EBITDA,OCF/Laba,FCFYield%,Payout%,Capex/OCF,SkorValuasi,SkorProfitabilitas,SkorKesehatan,SkorPertumbuhan,SkorArusKas,OmzetCAGR3%,LabaCAGR3%,TahunLabaNaik,SahamYoY%,EPS,BVPS,DPS,Saham,Omzet,LabaBersih,EBITDA,EBIT,TotalUtang,Kas,UtangBersih,TotalAset,Ekuitas,OCF,Capex,FCF,Periode,Basis,MataUang
KRAS,Krakatau Steel (Persero) Tbk,,Basic Materials,Tidak,WSE,66,"OCF-,FCF-",242,0.6,0.39,0.05,0.21,83.68,114.0,53.5,0.0,1.74,4.7,4.58,1.1,1.1,62.2,221.0,292.0,7.54,-5.59,39.38,15.43,1.51,0.85,0.53,5.44,1.87,-0.28,-60.97,0.0,,89,60,54,74,33,-24.6,155.7,1.0,0.0,405.5248,622.8431,,19346396900.0,19922244480000.0,7845444480000.0,12810359040000.0,12564010080000.0,20927531520000.0,1587548640000.0,19288763040000.0,49891036800000.0,12049769280000.0,-2234474400000.0,-619912800000.0,-2854387200000.0,2026-06-30,TTM-gabungan,USD
SRTG,Saratoga Investama Sedaya Tb,,Financial Services,Ya,BOW,92,,1805,1.3,0.38,0.09,0.43,32.28,376.0,609.9,5.72,0.01,24.5,7.5,13.9,0.64,48.2,1719.0,1602.0,99.35,98.85,90.45,29.59,0.02,29.78,29.78,149.59,1.22,0.09,6.55,42.16,0.01,98,98,,82,84,3.4,16.6,2.0,0.04,1381.2847,4739.8147,103.3,13549832900.0,20692605000000.0,18716177000000.0,20455765000000.0,20451022000000.0,795960000000.0,870895000000.0,484105000000.0,68674133000000.0,64223697000000.0,1604910000000.0,-10081000000.0,1601187000000.0,2026-03-31,TTM-gabungan,IDR
PSAB,J Resources Asia Pasifik Tbk,,Basic Materials,Ya,HOLD,89,kas<laba,565,2.9,1.39,0.24,0.76,64.0,5259.0,15.2,18.58,0.15,14.9,123.66,69.3,0.45,57.5,468.0,445.0,64.37,32.81,99.03,31.43,0.52,2.92,2.6,26.73,2.6,0.46,12.61,0.0,0.21,94,83,94,90,78,42.3,,3.0,0.0,195.1753,405.9389,105.0,26460000000.0,5214706899840.0,5164337461920.0,7164334449600.0,6863118864480.0,1594675053120.0,7369949038080.0,3710084654880.0,17474083766880.0,10741142736480.0,2374550397120.0,-489430008960.0,1885120388160.0,2026-03-31,TTM-gabungan,USD
TKIM,Pabrik Kertas Tjiwi Kimia Tb,,Basic Materials,Ya,HOLD,63,"OCF-,FCF-",8375,3.3,0.46,0.27,0.25,14.7,83.2,4.6,0.36,0.23,26.1,3.02,23.3,1.24,73.4,6575.0,7360.0,15.31,6.48,43.01,10.9,1.4,1.35,0.82,13.56,4.41,-0.11,-10.64,1.18,,88,53,78,41,34,-4.9,-15.9,1.0,0.0,2509.6392,18302.1998,30.0,3113223570.0,18166970400000.0,7813068000000.0,8634876480000.0,8617933440000.0,13293484320000.0,1242738240000.0,12048561600000.0,74212717440000.0,56978839680000.0,-828468480000.0,-1946052000000.0,-2774520480000.0,2026-06-30,TTM-gabungan,USD
BBTN,Bank Tabungan Negara (Perser,LQ45,Financial Services,Tidak,WSE,70,,1225,4.1,0.46,0.3,0.52,11.81,43.2,8.8,4.37,1.63,17.2,14.69,18.0,0.81,51.8,1199.0,1243.0,,,20.59,0.83,,,,,,-4.06,-109.83,0.0,,94,53,,65,59,9.4,4.8,2.0,0.0,299.0483,2676.1136,53.57,14034444413.0,20386482000000.0,4196977000000.0,,,61379379000000.0,27385200000000.0,33777535000000.0,545161326000000.0,37557768000000.0,-17029561000000.0,-1853416000000.0,-18882977000000.0,2026-06-30,TTM-gabungan,IDR
DEWA,Darma Henwa Tbk,Bakrie,Energy,Ya,WSE,70,kas<laba,452,4.2,2.33,0.19,1.09,68.37,34.6,-2.2,0.33,0.46,18.4,512.84,234.5,0.64,53.8,403.0,470.0,15.48,11.53,68.12,33.76,0.68,0.98,0.88,18.33,4.79,0.23,0.08,0.0,0.98,76,73,79,62,47,1.8,,3.0,0.0,106.4348,193.6018,1.5,40687434244.0,6357668840000.0,4330559441000.0,4469968816000.0,4443441647000.0,3597592754000.0,486824326000.0,3021728585000.0,15952540404000.0,7877160533000.0,1017270953000.0,-1001952975000.0,15317978000.0,2026-03-31,TTM,IDR
JPFA,Japfa Comfeed Indonesia Tbk.,,Consumer Defensive,Ya,WSE,85,,2240,5.1,1.27,0.5,0.63,28.54,96.8,22.0,6.25,0.4,26.0,12.17,27.1,1.05,55.4,2116.0,2316.0,23.43,11.37,8.02,13.89,0.77,1.79,0.53,10.86,4.02,1.23,11.67,31.18,0.52,93,80,79,85,85,7.4,41.3,2.0,0.0,442.0483,1766.5469,140.0,11627669901.0,64097536000000.0,5139992000000.0,8030386000000.0,7698660000000.0,8207996000000.0,1849630000000.0,6200297000000.0,39333812000000.0,20540824000000.0,6340063000000.0,-3300451000000.0,3039612000000.0,2026-03-31,TTM-gabungan,IDR
SMDR,Samudera Indonesia  Tbk,,Industrials,Ya,WSE,71,,318,5.3,0.52,0.44,0.26,10.12,62.3,20.0,3.77,0.95,5.2,10.79,3.3,1.08,63.0,291.0,322.0,17.71,10.8,6.55,3.94,1.29,2.31,2.29,3.74,3.69,2.93,19.94,22.73,0.64,95,63,71,44,82,-11.4,-37.5,1.0,0.0,59.9423,605.957,12.0,16375600000.0,14996157258240.0,981591328320.0,2174152311360.0,2131122530880.0,9377580534720.0,6573056275200.0,2804524259520.0,26319924644640.0,9922909752960.0,2878481108640.0,-1840366005120.0,1038115103520.0,2026-06-30,TTM,USD
LSIP,PP London Sumatra Indonesia ,Salim,Consumer Defensive,Ya,HOLD,88,,1610,5.3,0.77,0.51,0.38,15.14,26.7,5.7,5.16,0.0,11.0,9.59,14.3,4.93,76.8,1366.0,1276.0,37.37,34.8,35.11,13.51,-3.36,7.08,6.44,2214.41,1.05,1.28,19.89,27.39,0.17,96,88,100,68,87,6.3,22.1,2.0,0.0,302.6825,2100.1243,83.0,6819963965.0,5880175000000.0,2064284000000.0,2493427000000.0,2493427000000.0,329000000.0,8371777000000.0,-8371448000000.0,16294964000000.0,14322772000000.0,2632025000000.0,-448396000000.0,2183629000000.0,2026-06-30,TTM-gabungan,IDR
NCKL,Trimegah Bangun Persada Tbk.,,Basic Materials,Tidak,WSE,86,kas<laba,945,5.6,1.36,0.46,0.75,27.87,87.2,44.3,4.51,0.2,59.5,44.68,42.1,0.83,55.4,872.0,1028.0,28.12,24.01,32.68,16.9,0.28,1.69,0.88,23.36,4.48,0.49,7.22,0.0,0.17,89,79,88,95,73,45.8,24.2,3.0,-0.12,169.2943,696.521,42.64,62987866700.0,32634946000000.0,10663487000000.0,14181770000000.0,14086999000000.0,8915750000000.0,4885730000000.0,4030020000000.0,70985378000000.0,43872369000000.0,5174942000000.0,-878467000000.0,4296475000000.0,2026-06-30,TTM-gabungan,IDR
DKFT,Central Omega Resources Tbk.,,Basic Materials,Ya,WSE,88,,675,5.6,2.42,0.46,1.33,53.02,21.7,19.0,10.37,0.34,3.7,6.25,4.2,0.44,54.0,655.0,736.0,52.75,38.11,41.02,22.7,0.18,2.74,2.45,417.33,4.66,0.83,13.61,50.08,0.08,81,91,94,87,88,26.6,114.0,3.0,0.0,121.4482,278.9821,70.0,5513485875.0,1632331515159.0,669602916415.0,829672086845.0,721836738675.0,519153216134.0,659664734928.0,145434374839.0,3219670929659.0,1538163945576.0,552796370694.0,-46295456497.0,506500914197.0,2026-06-30,TTM-gabungan,IDR
